Sales Register
ID,Posting Date,Debit To,Parent Account,Territory,Customer Details,Sales - GPB,Net Total,Arifin Trucking - GPB,Freight Cost of Sales - GPB,Miscellaneous Expenses - GPB,PPh 22  ( Non NPWP ) - GPB,PPh 22 ( NPWP ) - GPB,PPN - GPB,Prima Johan - GPB,Sales Discount - GPB,SPSI Factory - GPB,Total Tax,Grand Total
INV03935,2013-01-18,US Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17058824.16,17058824.16,0,0,0,85294.12,0,1705882.42,900000.0,0,0,2691176.54,19750000.7
INV03936,2013-01-18,Bangun Utama Bagan Sinembah 1,Accounts Receivable - GPB,Rapakoba,,16787331.1,16787331.1,3200000.0,0,0,83936.66,0,1678733.11,0,0,0,4962669.77,21750000.87
INV03937,2013-01-18,Bani Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17624434.42,17624434.42,0,0,0,88122.17,0,1762443.44,900000.0,0,0,2750565.61,20375000.03
INV03938,2013-01-18,Ikbal Jaya Martubung 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03939,2013-01-18,Martimbul Kisaran 1,Accounts Receivable - GPB,Serkibata,,17285068.6,17285068.6,0,0,0,86425.34,0,1728506.86,900000.0,0,0,2714932.2,20000000.8
INV03940,2013-01-18,Perdana Jaya Air Batu 1,Accounts Receivable - GPB,Serkibata,,17443438.94,17443438.94,0,0,0,87217.19,0,1744343.89,1100000.0,0,0,2931561.08,20375000.02
INV03941,2013-01-18,Rezeki Makmur T . Balai 1,Accounts Receivable - GPB,Serkibata,,17330316.8,17330316.8,0,0,0,86651.58,0,1733031.68,1100000.0,0,0,2919683.26,20250000.06
INV03942,2013-01-18,Indomas Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.62,17511312.62,0,0,0,87556.56,0,1751131.26,900000.0,0,0,2738687.82,20250000.44
INV03943,2013-01-18,Nanda Nindi Medan 1,Accounts Receivable - GPB,Medan,,17149322.74,17149322.74,0,0,0,85746.61,0,1714932.27,1300000.0,0,0,3100678.88,20250001.62
INV03944,2013-01-18,Raja Pas Bangunan Rantau Prapat 1,Accounts Receivable - GPB,Rapakoba,,17307692.47,17307692.47,2250000.0,0,0,86538.46,0,1730769.25,0,0,0,4067307.71,21375000.18
INV03945,2013-01-18,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17330317.83,17330317.83,0,0,0,86651.59,0,1733031.78,500000.0,0,0,2319683.37,19650001.2
INV03946,2013-01-18,Sejahterah Perdagangan 1,Accounts Receivable - GPB,Serkibata,,17194570.14,17194570.14,0,0,0,85972.85,0,1719457.01,0.0,0,0,1805429.86,19000000.0
INV03947,2013-01-18,Linsa Pangururan 1,Accounts Receivable - GPB,Sibatopasa,,15882354.31,15882354.31,0,0,0,79411.77,0,1588235.43,0.0,0,0,1667647.2,17550001.51
INV03948,2013-01-19,Utama Bangunan Batubara 1,Accounts Receivable - GPB,Serkibata,,17330317.83,17330317.83,0,0,0,86651.59,0,1733031.78,500000.0,0,0,2319683.37,19650001.2
INV03949,2013-01-19,Jaya Baru Tembung 1,Accounts Receivable - GPB,Tatemlukam,,17375565.63,17375565.63,0,0,0,86877.83,0,1737556.56,1300000.0,0,0,3124434.39,20500000.02
INV03950,2013-01-19,Kencana Agung Johor 1,Accounts Receivable - GPB,Medan,,16696833.76,16696833.76,0,0,0,83484.17,0,1669683.38,1300000.0,0,0,3053167.55,19750001.31
INV03951,2013-01-19,Mandiri Tembung 1,Accounts Receivable - GPB,Tatemlukam,,17149321.34,17149321.34,0,0,0,85746.61,0,1714932.13,1300000.0,0,0,3100678.74,20250000.08
INV03952,2013-01-19,Bintang Karya Mandiri Baganbatu 1,Accounts Receivable - GPB,Rapakoba,,16787331.18,16787331.18,3200000.0,0,0,83936.66,0,1678733.12,0,0,0,4962669.78,21750000.96
INV03953,2013-01-19,Pelita Serbelawan 1,Accounts Receivable - GPB,Sibatopasa,,17511312.26,17511312.26,0,0,0,87556.56,0,1751131.23,900000.0,0,0,2738687.79,20250000.05
INV03954,2013-01-19,Harapan Aulia Tembung 1,Accounts Receivable - GPB,Tatemlukam,,17375565.63,17375565.63,0,0,0,86877.83,0,1737556.56,1300000.0,0,0,3124434.39,20500000.02
INV03955,2013-01-19,Setia Jaya Tembung 1,Accounts Receivable - GPB,Tatemlukam,,17149321.34,17149321.34,0,0,0,85746.61,0,1714932.13,1300000.0,0,0,3100678.74,20250000.08
INV03956,2013-01-19,Tetap Jaya Kisaran 1,Accounts Receivable - GPB,Serkibata,,17511312.26,17511312.26,0,0,0,87556.56,0,1751131.23,900000.0,0,0,2738687.79,20250000.05
INV03957,2013-01-19,Surbakti Berastagi 1,Accounts Receivable - GPB,Binlangkar,,16606335.29,16606335.29,0,0,0,83031.68,0,1660633.53,2900000.0,0,0,4643665.21,21250000.5
INV03958,2013-01-19,Pala Pintu Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17511312.26,17511312.26,0,0,0,87556.56,0,1751131.23,900000.0,0,0,2738687.79,20250000.05
INV03959,2013-01-19,Simalungun Traso Siantar 1,Accounts Receivable - GPB,Sibatopasa,,17511312.26,17511312.26,0,0,0,87556.56,0,1751131.23,900000.0,0,0,2738687.79,20250000.05
INV03960,2013-01-19,Sinar Jaya T. Balai 1,Accounts Receivable - GPB,Serkibata,,17330316.74,17330316.74,0,0,0,86651.58,0,1733031.67,1100000.0,0,0,2919683.25,20249999.99
INV03961,2013-01-19,Sejati Binjai 1,Accounts Receivable - GPB,Binlangkar,,17104072.56,17104072.56,0,0,0,85520.36,0,1710407.26,1850000.0,0,0,3645927.62,20750000.18
INV03962,2013-01-19,Bahagia Jaya By pass 1,Accounts Receivable - GPB,Medan,,17149321.34,17149321.34,0,0,0,85746.61,0,1714932.13,1300000.0,0,0,3100678.74,20250000.08
