Customer_id;Customer_name;Address_line1
Citra Bersama Medan 1;Citra Bersama Medan 1;Jl. PINANG BARIS NO.137 B-C
Citra Saudara Samosir 1;Citra Saudara Samosir 1;PERBABAN KAB. SAMOSIR PAGURURAN
Damanix Multi Karya Medan 1;Damanix Multi Karya Medan 1;Jl. SUKA PURA (MASUK DARI JALAN TRITURA)
Darmawan Sejahtera;Darmawan Sejahtera Tembung 1;Jl. GAMBIR PASAR 8 NO. 2 TEMBUNG
Depan Mesjid Perdagangan 1;Depan Mesjid Perdagangan 1;Jl. LINTAS SUMATRA LIMA PULUH KOTA DEKAT SIMPANG 4 PERDAGANGAN
Desa Maju Polonia 1;Desa Maju Polonia 1;Jl. TERNAK NO.25 POLONIA (LEWAT SEKOLAH ANGKAS)
Dunia Co Kisaran 1;Dunia Co Kisaran 1;Jl. DIPENOGORO
Duta Property Group Medan 1;Duta Property Group Medan 1;Jl. TENGKU AMIR HAMZAH NO.106,108 KOMPLEK GRIYATUR MEDAN
Fajar Jaya Binjai 1;Fajar Jaya Binjai 1;Jl. MEDAN - BINJAI KM.12 GG. PEMBANGUNAN
Fariz Dolok Batu Nanggar 1;Fariz Dolok Batu Nanggar 1;Jl. BESAR SER BELAWAN BAHAPEL NO.95 SUMBER SARI DOLOK BATU NANGGAR
Fauzar Aek Loba 1;Fauzar Aek Loba 1;Jl. LINTAS AEK LOBA - ASAHAN
Front Line Indonesia Medan 1;Front Line Indonesia Medan 1;Jl. JAMIN GINTING NO.286 MEDAN SEBELAH KOMPLEKS PERUMAHAN CITRA GARDEN
Fuad Tanjung Morawa 1;Fuad Tanjung Morawa 1;Jl. TIRTA DELI NO 87 TANJUNG MORAWA
Gambir Aek Kanopan 1;Gambir Aek Kanopan 1;Jl. LINSUM GUNTING SAGA KEC. KUALUH SELATAN AEK KANOPAN LABUHAN BATU UTARA
Gema Mubarak Medan 1;Gema Mubarak Medan 1;Jl. GATOT SUBROTO NO. 111 MEDAN
Gereja Katolik Tanah Jawa 1;Gereja Katolik Tanah Jawa 1;DESA TANJUNG PASIR TANAH JAWA KAB. SIMALUNGUN
Global Kusuma Mitra Mandiri Medan 1;Global Kusuma Mitra Mandiri Medan 1;Jl. BIDUK NO.92 MEDAN
Grand Iron Stell Medan 1;Grand Iron Stell Medan 1;Jl. PUKAT II NO 45 C MEDAN
Grand Minimalis Medan 1;Grand Minimalis Medan 1;Jl. PUKAT II NO 45 C MEDAN
Gundaling Padang Bulan 1;Gundaling Padang Bulan 1;Jl. JAMIN GINTING NO.535 PASAR 2 PADANG BULAN MEDAN
Hanjaya Patumbak 1;Hanjaya Patumbak 1;Jl. PERTAHANAN PATUMBAK DESA. SIGARA GARA KEC. MEDAN AMPLAS
Harapan Aulia Tembung 1;Harapan Aulia Tembung 1;Jl. TERUSAN BANDAR SETIA PEKAN SENIN PASAR 15
Harapan Baru Pangkalan Susu 1;Harapan Baru Pangkalan Susu 1;Jl. KARYA (BIOSKOP LAMA) NO. 1 PANGKALAN SUSU 
Harapan Baru Simalungun 1;Harapan Baru Simalungun 1;SUNGAI LANGGE KAB. SIMALUNGUN
Harapan Jaya Alfalah 1;Harapan Jaya Alfalah 1;Jl. ALFALAH NO. 7 MEDAN
Harapan Jaya Jakarta 1;Harapan Jaya Jakarta 1;JAKARTA
Hari Jaya Air Joman 1;Hari Jaya Air Joman 1;Jl. BESAR AIR JOMAN KEBUN SAYUR
Hartono Perdagangan 1;Hartono Perdagangan 1;Jl. SISINGAMANGARAJA NO 635 PERDAGANGAN
Harva Rahmat Utama Medan 1;Harva Rahmat Utama Medan 1;Jl. HALAT NO. 144 - 144 A- 144 B MEDAN
Hasian Jaya Rantau Prapat 1;Hasian Jaya Rantau Prapat 1;KOMPLEKS PULO MAS BLOCK B NO. 13 RANTAU PRAPAT
Heri Jaya Marelan 1;Heri Jaya Marelan 1;Jl. TERTIB NO. 111 PASAR 5 MARELAN
Ibk Jaya Deli Tua 1;Ibk Jaya Deli Tua 1;Jl. MEDAN DELI TUA KM 10 DEPAN GANG SATRIA - MEDAN
Idola Jaya Johor 1;Idola Jaya Johor 1;Jl. KARYA JAYA NO.253 (DEPAN SIMPANG EKAWARNI)
Ikbal Jaya Martubung 1;Ikbal Jaya Martubung 1;Jl. MARTUBUNG MEDAN
Immanuel Batu Bara 1;Immanuel Batu Bara 1;Jl. BESAR PAGURAWAN SAMPING KANTOR POS KEC.MEDANG DERAS
Indah Gas Lestari Medan 1;Indah Gas Lestari Medan 1;Jl. DUSUN III HAMPARAN PERAK MEDAN
Indah Kisaran 1;Indah Kisaran 1;Jl. BUDI UTOMO SI UMBUT-UMBUT
Indomas Kisaran 1;Indomas Kisaran 1;Jl. PANGLIMA POLEM NO. 1 KISARAN BARAT
Inri E Samosir 1;Inri E Samosir 1;DESA HUTA NAMORE KEC. PANGURURAN KAB. SAMOSIR
Jasa Laut Tanjung Tiram 1;Jasa Laut Tanjung Tiram 1;SIMPANG 4 TANJUNG TIRAM
Jatiwangi Medan 1;Jatiwangi Medan 1;Jl. SETIA BUDI NO.99/117 MEDAN
Jaya Baru Medan 1;Jaya Baru Medan 1;Jl. PALANGKARAYA NO. 59 KEL. PASAR BARU KEC. MEDAN KOTA
Jaya Baru Tembung 1;Jaya Baru Tembung 1;Jl. UTAMA KAMPUNG KOLAM PASAR 14 TEMBUNG (SAMPING KANTOR KEPALA DESA KOLAM)R 
Jaya Block Medan 1;Jaya Block Medan 1;Jl. KAPTEN SUMARSONO NO. 6 (LEWAT PENGADILAN TINGGI AGAMA / DEPAN ANGKUTAN LANGKAT JAYA)
Jaya Lestari Deli Tua 1;Jaya Lestari Deli Tua 1;Jl. BESAR DELI TUA KM. 10,3 N0. 42
Jaya Lestari Tanjung Tiram 1;Jaya Lestari Tanjung Tiram 1;SIMPANG 4 TANJUNG TIRAM BATUBARA
